NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-03-24 18:50:55

BUY SIGNALS (22):
  PREMIERENE.NS   | Price:  889.35 | Entry:  871.56 | Target: 1056.21 | Risk: LOW       
  BANKINDIA.NS    | Price:  146.33 | Target:  117.23 | Risk: LOW        | Conf: 100%
  CLEAN.NS        | Price:  701.50 | Target:  558.14 | Risk: LOW        | Conf: 100%
  SRF.NS          | Price: 2471.60 | Target: 1987.28 | Risk: LOW        | Conf: 100%
  CHOLAHLDNG.NS   | Price: 1374.60 | Target: 1006.64 | Risk: LOW        | Conf: 100%
  ITC.NS          | Price:  291.25 | Target:  259.30 | Risk: LOW        | Conf: 100%
  AKZOINDIA.NS    | Price: 2852.40 | Target: 2324.40 | Risk: LOW        | Conf: 80%
  AXISBANK.NS     | Price: 1192.70 | Target: 1004.02 | Risk: LOW        | Conf: 100%
  ZYDUSLIFE.NS    | Price:  886.40 | Target:  771.56 | Risk: LOW        | Conf: 100%
  KPIL.NS         | Price: 1051.80 | Target:  808.51 | Risk: LOW        | Conf: 100%
  VOLTAS.NS       | Price: 1302.10 | Target: 1013.64 | Risk: LOW        | Conf: 100%
  M&M.NS          | Price: 3031.30 | Target: 2423.44 | Risk: LOW        | Conf: 100%
  GMRAIRPORT.NS   | Price:   89.02 | Target:   68.65 | Risk: LOW        | Conf: 100%
  DEEPAKFERT.NS   | Price:  921.05 | Target:  711.03 | Risk: LOW        | Conf: 100%
  CRISIL.NS       | Price: 3962.20 | Target: 3443.20 | Risk: LOW        | Conf: 100%
  CANFINHOME.NS   | Price:  831.65 | Target:  633.67 | Risk: LOW        | Conf: 100%
  TIMKEN.NS       | Price: 3136.70 | Target: 2437.99 | Risk: LOW        | Conf: 100%
  PGEL.NS         | Price:  501.70 | Target:  347.59 | Risk: LOW        | Conf: 100%
  KARURVYSYA.NS   | Price:  272.30 | Target:  216.32 | Risk: LOW        | Conf: 100%
  APOLLOTYRE.NS   | Price:  404.70 | Target:  329.15 | Risk: LOW        | Conf: 100%
  TATAINVEST.NS   | Price:  583.80 | Target:  473.55 | Risk: LOW        | Conf: 100%
  IDEA.NS         | Price:    8.88 | Target:    6.69 | Risk: LOW        | Conf: 100%
  INDIGO.NS       | Price: 4150.80 | Target: 3206.37 | Risk: LOW        | Conf: 100%
  RITES.NS        | Price:  188.67 | Target:  154.11 | Risk: LOW        | Conf: 100%
  CONCOR.NS       | Price:  433.10 | Target:  355.64 | Risk: LOW        | Conf: 100%
  RBLBANK.NS      | Price:  296.60 | Target:  250.33 | Risk: LOW        | Conf: 100%
  OFSS.NS         | Price: 6605.50 | Target: 5536.21 | Risk: LOW        | Conf: 100%
  INTELLECT.NS    | Price:  643.05 | Target:  516.35 | Risk: LOW        | Conf: 100%
  HEXT.NS         | Price:  437.15 | Target:  323.44 | Risk: LOW        | Conf: 80%
  HSCL.NS         | Price:  445.65 | Target:  341.40 | Risk: LOW        | Conf: 80%
  OLAELEC.NS      | Price:   23.25 | Target:   16.45 | Risk: LOW        | Conf: 100%
  KAJARIACER.NS   | Price:  902.60 | Target:  706.44 | Risk: LOW        | Conf: 100%
  BAJAJHFL.NS     | Price:   78.75 | Target:   67.52 | Risk: LOW        | Conf: 100%
  AAVAS.NS        | Price: 1114.20 | Target:  905.20 | Risk: LOW        | Conf: 100%
  LT.NS           | Price: 3516.80 | Target: 2779.73 | Risk: LOW        | Conf: 100%
  TVSMOTOR.NS     | Price: 3479.70 | Target: 2831.95 | Risk: LOW        | Conf: 100%
  ABFRL.NS        | Price:   58.13 | Target:   43.84 | Risk: LOW        | Conf: 100%
  COCHINSHIP.NS   | Price: 1305.10 | Target:  996.96 | Risk: LOW        | Conf: 100%
  FIVESTAR.NS     | Price:  364.55 | Target:  276.66 | Risk: LOW        | Conf: 100%
  CIPLA.NS        | Price: 1219.40 | Target: 1088.33 | Risk: LOW        | Conf: 100%
  BANDHANBNK.NS   | Price:  149.99 | Target:  110.42 | Risk: LOW        | Conf: 100%
  VENTIVE.NS      | Price:  627.20 | Target:  499.70 | Risk: LOW        | Conf: 100%
  EIHOTEL.NS      | Price:  301.00 | Target:  218.59 | Risk: LOW        | Conf: 100%
  MAXHEALTH.NS    | Price:  969.20 | Target:  830.70 | Risk: LOW        | Conf: 100%
  TATATECH.NS     | Price:  530.40 | Target:  437.86 | Risk: LOW        | Conf: 100%
  GODREJAGRO.NS   | Price:  557.20 | Target:  436.25 | Risk: LOW        | Conf: 100%
  RCF.NS          | Price:  113.98 | Target:   78.83 | Risk: LOW        | Conf: 100%
  UNITDSPR.NS     | Price: 1328.00 | Target: 1092.79 | Risk: LOW        | Conf: 100%
  APTUS.NS        | Price:  200.31 | Target:  161.98 | Risk: LOW        | Conf: 100%
  ADANIGREEN.NS   | Price:  839.55 | Target:  663.44 | Risk: LOW        | Conf: 100%
  PATANJALI.NS    | Price:  472.80 | Target:  412.73 | Risk: LOW        | Conf: 100%
  TECHNOE.NS      | Price: 1049.70 | Target:  814.91 | Risk: LOW        | Conf: 80%
  CANBK.NS        | Price:  133.15 | Target:  107.22 | Risk: LOW        | Conf: 100%
  TATAELXSI.NS    | Price: 4180.20 | Target: 3444.84 | Risk: LOW        | Conf: 100%
  LATENTVIEW.NS   | Price:  262.65 | Target:  192.67 | Risk: LOW        | Conf: 100%
  APLLTD.NS       | Price:  673.20 | Target:  549.58 | Risk: LOW        | Conf: 100%
  BEL.NS          | Price:  414.45 | Target:  338.68 | Risk: LOW        | Conf: 100%
  TITAGARH.NS     | Price:  616.30 | Target:  481.46 | Risk: LOW        | Conf: 100%
  JYOTHYLAB.NS    | Price:  210.20 | Target:  170.56 | Risk: LOW        | Conf: 100%
  IRCTC.NS        | Price:  515.15 | Target:  439.13 | Risk: LOW        | Conf: 100%
  HDFCBANK.NS     | Price:  764.90 | Target:  632.72 | Risk: LOW        | Conf: 100%
  SUMICHEM.NS     | Price:  379.15 | Target:  311.94 | Risk: LOW        | Conf: 100%
  JKTYRE.NS       | Price:  398.05 | Target:  290.85 | Risk: LOW        | Conf: 100%
  ICICIPRULI.NS   | Price:  537.50 | Target:  437.18 | Risk: LOW        | Conf: 100%
  NUVAMA.NS       | Price: 1150.30 | Target:  952.62 | Risk: LOW        | Conf: 100%
  INDUSTOWER.NS   | Price:  429.30 | Target:  355.32 | Risk: LOW        | Conf: 100%
  PETRONET.NS     | Price:  241.90 | Target:  175.49 | Risk: LOW        | Conf: 100%
  TATACOMM.NS     | Price: 1407.30 | Target: 1136.80 | Risk: LOW        | Conf: 100%
  ASHOKLEY.NS     | Price:  167.13 | Target:  127.34 | Risk: LOW        | Conf: 100%
  MOTHERSON.NS    | Price:  111.13 | Target:   85.27 | Risk: LOW        | Conf: 100%
  CARBORUNIV.NS   | Price:  764.00 | Target:  650.39 | Risk: LOW        | Conf: 100%
  SWIGGY.NS       | Price:  275.75 | Target:  214.98 | Risk: LOW        | Conf: 100%
  SUNDRMFAST.NS   | Price:  795.30 | Target:  651.87 | Risk: LOW        | Conf: 100%
  NYKAA.NS        | Price:  240.05 | Target:  197.93 | Risk: LOW        | Conf: 100%
  AEGISLOG.NS     | Price:  599.80 | Target:  443.60 | Risk: LOW        | Conf: 100%
  LTIM.NS         | Price: 4105.60 | Target: 3339.06 | Risk: LOW        | Conf: 100%
  BLUESTARCO.NS   | Price: 1665.90 | Target: 1256.61 | Risk: LOW        | Conf: 100%
  SUNDARMFIN.NS   | Price: 4649.50 | Target: 3503.96 | Risk: LOW        | Conf: 100%
  VIJAYA.NS       | Price:  888.80 | Target:  731.94 | Risk: LOW        | Conf: 100%
  BBTC.NS         | Price: 1414.60 | Target: 1132.71 | Risk: LOW        | Conf: 100%
  360ONE.NS       | Price:  989.30 | Target:  832.91 | Risk: LOW        | Conf: 100%
  PPLPHARMA.NS    | Price:  136.08 | Target:  108.85 | Risk: LOW        | Conf: 100%
  INOXWIND.NS     | Price:   77.91 | Target:   56.78 | Risk: LOW        | Conf: 100%
  MPHASIS.NS      | Price: 2116.80 | Target: 1735.98 | Risk: LOW        | Conf: 100%
  PHOENIXLTD.NS   | Price: 1503.50 | Target: 1247.39 | Risk: LOW        | Conf: 100%
  ANANDRATHI.NS   | Price: 2970.60 | Target: 2566.49 | Risk: LOW        | Conf: 100%
  EIDPARRY.NS     | Price:  790.10 | Target:  626.53 | Risk: LOW        | Conf: 100%
  BLUEDART.NS     | Price: 4964.50 | Target: 4225.93 | Risk: LOW        | Conf: 100%
  FINPIPE.NS      | Price:  160.44 | Target:  122.76 | Risk: LOW        | Conf: 100%
  RAINBOW.NS      | Price: 1147.80 | Target:  951.12 | Risk: LOW        | Conf: 100%
  CHOLAFIN.NS     | Price: 1418.90 | Target: 1121.01 | Risk: LOW        | Conf: 100%
  HEG.NS          | Price:  488.35 | Target:  384.92 | Risk: LOW        | Conf: 100%
  INDHOTEL.NS     | Price:  604.05 | Target:  495.41 | Risk: LOW        | Conf: 100%
  TRITURBINE.NS   | Price:  444.05 | Target:  361.05 | Risk: LOW        | Conf: 100%
  WOCKPHARMA.NS   | Price: 1138.80 | Target:  872.94 | Risk: LOW        | Conf: 100%
  ADANIENSOL.NS   | Price:  967.30 | Target:  757.55 | Risk: LOW        | Conf: 80%
  INDIANB.NS      | Price:  871.45 | Target:  698.61 | Risk: LOW        | Conf: 100%
  RPOWER.NS       | Price:   21.40 | Target:   15.08 | Risk: LOW        | Conf: 100%
  VMM.NS          | Price:  106.93 | Target:   82.74 | Risk: LOW        | Conf: 100%
  SONACOMS.NS     | Price:  494.70 | Target:  397.00 | Risk: LOW        | Conf: 100%
  CROMPTON.NS     | Price:  237.55 | Target:  198.50 | Risk: LOW        | Conf: 100%
  SHRIRAMFIN.NS   | Price:  903.60 | Target:  653.78 | Risk: LOW        | Conf: 100%
  DIXON.NS        | Price: 10174.00 | Target: 7774.36 | Risk: LOW        | Conf: 100%
  BRITANNIA.NS    | Price: 5513.50 | Target: 4817.61 | Risk: LOW        | Conf: 100%
  MFSL.NS         | Price: 1583.50 | Target: 1319.54 | Risk: LOW        | Conf: 100%
  IIFL.NS         | Price:  455.90 | Target:  357.95 | Risk: LOW        | Conf: 100%
  ESCORTS.NS      | Price: 2899.80 | Target: 2218.69 | Risk: LOW        | Conf: 100%
  SONATSOFTW.NS   | Price:  227.80 | Target:  174.69 | Risk: LOW        | Conf: 100%
  GILLETTE.NS     | Price: 7725.50 | Target: 6682.29 | Risk: LOW        | Conf: 100%
  PFIZER.NS       | Price: 4659.50 | Target: 3942.00 | Risk: LOW        | Conf: 100%
  CASTROLIND.NS   | Price:  173.78 | Target:  161.38 | Risk: LOW        | Conf: 100%
  CESC.NS         | Price:  150.29 | Target:  120.62 | Risk: LOW        | Conf: 100%
  SOBHA.NS        | Price: 1205.60 | Target:  936.89 | Risk: LOW        | Conf: 100%
  ERIS.NS         | Price: 1281.40 | Target: 1093.97 | Risk: LOW        | Conf: 100%
  POLYCAB.NS      | Price: 7064.50 | Target: 5517.18 | Risk: LOW        | Conf: 100%
  CYIENT.NS       | Price:  798.45 | Target:  629.00 | Risk: LOW        | Conf: 100%
  RAMCOCEM.NS     | Price:  897.50 | Target:  670.89 | Risk: LOW        | Conf: 100%
  IRB.NS          | Price:   40.63 | Target:   34.56 | Risk: LOW        | Conf: 100%
  CAPLIPOINT.NS   | Price: 1586.30 | Target: 1384.30 | Risk: LOW        | Conf: 100%
  LTF.NS          | Price:  254.80 | Target:  207.67 | Risk: LOW        | Conf: 100%
  EICHERMOT.NS    | Price: 6871.00 | Target: 5623.32 | Risk: LOW        | Conf: 100%
  HEROMOTOCO.NS   | Price: 5253.00 | Target: 4268.36 | Risk: LOW        | Conf: 100%
  FEDERALBNK.NS   | Price:  262.50 | Target:  216.21 | Risk: LOW        | Conf: 100%
  KIMS.NS         | Price:  631.05 | Target:  496.55 | Risk: LOW        | Conf: 100%
  BAJAJ-AUTO.NS   | Price: 8898.00 | Target: 7411.39 | Risk: LOW        | Conf: 100%
  TTML.NS         | Price:   34.64 | Target:   24.99 | Risk: LOW        | Conf: 100%
  AGARWALEYE.NS   | Price:  418.25 | Target:  328.46 | Risk: LOW        | Conf: 100%
  BOSCHLTD.NS     | Price: 30080.00 | Target: 25406.79 | Risk: LOW        | Conf: 100%
  BERGEPAINT.NS   | Price:  413.80 | Target:  345.32 | Risk: LOW        | Conf: 100%
  PGHH.NS         | Price: 9496.00 | Target: 7928.86 | Risk: LOW        | Conf: 100%
  SBICARD.NS      | Price:  673.50 | Target:  555.10 | Risk: LOW        | Conf: 100%
  CAMPUS.NS       | Price:  221.50 | Target:  182.61 | Risk: LOW        | Conf: 100%
  KPITTECH.NS     | Price:  665.00 | Target:  516.82 | Risk: LOW        | Conf: 100%
  KFINTECH.NS     | Price:  906.25 | Target:  739.25 | Risk: LOW        | Conf: 100%
  BAJFINANCE.NS   | Price:  849.00 | Target:  686.25 | Risk: LOW        | Conf: 100%
  TMPV.NS         | Price:  311.20 | Target:  252.54 | Risk: LOW        | Conf: 100%
  KALYANKJIL.NS   | Price:  371.70 | Target:  304.77 | Risk: LOW        | Conf: 100%
  SAMMAANCAP.NS   | Price:  138.51 | Target:  112.81 | Risk: LOW        | Conf: 100%
  USHAMART.NS     | Price:  393.35 | Target:  319.90 | Risk: LOW        | Conf: 100%
  INFY.NS         | Price: 1278.30 | Target: 1099.48 | Risk: LOW        | Conf: 80%
  HAVELLS.NS      | Price: 1234.20 | Target: 1020.34 | Risk: LOW        | Conf: 100%
  ZEEL.NS         | Price:   71.51 | Target:   54.88 | Risk: LOW        | Conf: 100%
  WELSPUNLIV.NS   | Price:  113.08 | Target:   89.05 | Risk: LOW        | Conf: 100%
  CHALET.NS       | Price:  721.00 | Target:  569.30 | Risk: LOW        | Conf: 100%
  GODIGIT.NS      | Price:  322.75 | Target:  258.52 | Risk: LOW        | Conf: 100%
  RHIM.NS         | Price:  344.65 | Target:  265.04 | Risk: LOW        | Conf: 100%
  NEULANDLAB.NS   | Price: 12030.00 | Target: 9888.93 | Risk: LOW        | Conf: 100%
  DEEPAKNTR.NS    | Price: 1321.50 | Target: 1082.43 | Risk: LOW        | Conf: 100%
  COROMANDEL.NS   | Price: 1940.10 | Target: 1497.49 | Risk: LOW        | Conf: 100%
  ARE&M.NS        | Price:  727.20 | Target:  624.24 | Risk: LOW        | Conf: 100%
  FORTIS.NS       | Price:  811.40 | Target:  665.54 | Risk: LOW        | Conf: 100%
  MOTILALOFS.NS   | Price:  649.55 | Target:  511.75 | Risk: LOW        | Conf: 100%
  SOLARINDS.NS    | Price: 12554.00 | Target: 9822.57 | Risk: LOW        | Conf: 100%
  DBREALTY.NS     | Price:   93.14 | Target:   67.05 | Risk: LOW        | Conf: 100%
  ALOKINDS.NS     | Price:   12.63 | Target:   10.25 | Risk: LOW        | Conf: 100%
  NBCC.NS         | Price:   81.85 | Target:   63.55 | Risk: LOW        | Conf: 100%
  IDFCFIRSTB.NS   | Price:   62.09 | Target:   51.27 | Risk: LOW        | Conf: 100%
  AEGISVOPAK.NS   | Price:  177.67 | Target:  126.02 | Risk: LOW        | Conf: 100%
  GUJGASLTD.NS    | Price:  328.65 | Target:  211.77 | Risk: LOW        | Conf: 100%
  GRAPHITE.NS     | Price:  570.85 | Target:  422.69 | Risk: LOW        | Conf: 100%
  JSWINFRA.NS     | Price:  252.45 | Target:  198.99 | Risk: LOW        | Conf: 100%
  RRKABEL.NS      | Price: 1350.40 | Target: 1037.22 | Risk: LOW        | Conf: 100%
  IGL.NS          | Price:  149.89 | Target:  119.84 | Risk: LOW        | Conf: 100%
  HDFCAMC.NS      | Price: 2351.70 | Target: 1912.77 | Risk: LOW        | Conf: 100%
  REDINGTON.NS    | Price:  210.10 | Target:  142.14 | Risk: LOW        | Conf: 100%
  PCBL.NS         | Price:  233.15 | Target:  172.47 | Risk: LOW        | Conf: 100%
  POLYMED.NS      | Price: 1244.30 | Target:  975.12 | Risk: LOW        | Conf: 100%
  LICHSGFIN.NS    | Price:  479.00 | Target:  397.61 | Risk: LOW        | Conf: 100%
  NIVABUPA.NS     | Price:   68.64 | Target:   56.41 | Risk: LOW        | Conf: 100%
  CHOICEIN.NS     | Price:  620.35 | Target:  473.26 | Risk: LOW        | Conf: 100%
  HONAUT.NS       | Price: 27640.00 | Target: 23600.71 | Risk: LOW        | Conf: 100%
  OBEROIRLTY.NS   | Price: 1443.80 | Target: 1227.51 | Risk: LOW        | Conf: 100%
  UTIAMC.NS       | Price:  928.70 | Target:  767.56 | Risk: LOW        | Conf: 100%
  BSOFT.NS        | Price:  346.50 | Target:  263.98 | Risk: LOW        | Conf: 100%
  NH.NS           | Price: 1655.50 | Target: 1420.39 | Risk: LOW        | Conf: 100%
  DLF.NS          | Price:  521.00 | Target:  420.57 | Risk: LOW        | Conf: 100%
  BATAINDIA.NS    | Price:  640.05 | Target:  520.87 | Risk: LOW        | Conf: 100%
  ENDURANCE.NS    | Price: 2240.60 | Target: 1826.03 | Risk: LOW        | Conf: 100%
  METROPOLIS.NS   | Price:  443.00 | Target:  343.06 | Risk: LOW        | Conf: 100%
  WHIRLPOOL.NS    | Price:  798.45 | Target:  637.15 | Risk: LOW        | Conf: 100%
  SIEMENS.NS      | Price: 3001.80 | Target: 2401.55 | Risk: LOW        | Conf: 100%
  ITCHOTELS.NS    | Price:  145.27 | Target:  112.45 | Risk: LOW        | Conf: 100%
  MSUMI.NS        | Price:   37.51 | Target:   31.12 | Risk: LOW        | Conf: 100%
  CRAFTSMAN.NS    | Price: 6843.00 | Target: 5351.04 | Risk: LOW        | Conf: 100%
  ZFCVINDIA.NS    | Price: 13191.00 | Target: 11048.14 | Risk: LOW        | Conf: 100%
  DIVISLAB.NS     | Price: 6026.00 | Target: 5268.32 | Risk: LOW        | Conf: 100%
  NAM-INDIA.NS    | Price:  847.75 | Target:  678.00 | Risk: LOW        | Conf: 100%
  GSPL.NS         | Price:  231.25 | Target:  149.45 | Risk: LOW        | Conf: 100%
  HBLENGINE.NS    | Price:  660.25 | Target:  504.09 | Risk: LOW        | Conf: 100%
  NEWGEN.NS       | Price:  433.00 | Target:  332.73 | Risk: LOW        | Conf: 100%
  CENTURYPLY.NS   | Price:  678.80 | Target:  543.89 | Risk: LOW        | Conf: 80%
  BASF.NS         | Price: 3330.00 | Target: 2739.25 | Risk: LOW        | Conf: 100%
  GODREJIND.NS    | Price:  791.20 | Target:  626.84 | Risk: LOW        | Conf: 100%
  TBOTEK.NS       | Price: 1059.30 | Target:  743.12 | Risk: LOW        | Conf: 100%
  ASAHIINDIA.NS   | Price:  813.00 | Target:  593.05 | Risk: LOW        | Conf: 100%
  CAMS.NS         | Price:  638.65 | Target:  526.79 | Risk: LOW        | Conf: 100%
  ASTRAZEN.NS     | Price: 8276.00 | Target: 7146.00 | Risk: LOW        | Conf: 100%
  ACE.NS          | Price:  798.75 | Target:  638.91 | Risk: LOW        | Conf: 100%
  BIOCON.NS       | Price:  369.05 | Target:  310.34 | Risk: LOW        | Conf: 100%
  ONESOURCE.NS    | Price: 1316.10 | Target:  875.56 | Risk: LOW        | Conf: 100%
  PVRINOX.NS      | Price:  946.30 | Target:  761.48 | Risk: LOW        | Conf: 100%
  CREDITACC.NS    | Price: 1150.40 | Target:  931.94 | Risk: LOW        | Conf: 100%
  POONAWALLA.NS   | Price:  381.45 | Target:  300.75 | Risk: LOW        | Conf: 100%
  MAPMYINDIA.NS   | Price:  868.80 | Target:  661.34 | Risk: LOW        | Conf: 100%
  LALPATHLAB.NS   | Price: 1310.90 | Target: 1106.29 | Risk: LOW        | Conf: 100%
  CHAMBLFERT.NS   | Price:  420.25 | Target:  338.80 | Risk: LOW        | Conf: 100%
  BAJAJHLDNG.NS   | Price: 9337.00 | Target: 7846.64 | Risk: LOW        | Conf: 100%
  ELECON.NS       | Price:  384.55 | Target:  281.59 | Risk: LOW        | Conf: 100%
  GODREJPROP.NS   | Price: 1540.50 | Target: 1220.07 | Risk: LOW        | Conf: 100%
  AFFLE.NS        | Price: 1303.00 | Target: 1046.21 | Risk: LOW        | Conf: 100%
  ABREL.NS        | Price: 1133.70 | Target:  844.63 | Risk: LOW        | Conf: 100%
  AMBER.NS        | Price: 6452.00 | Target: 4746.82 | Risk: LOW        | Conf: 100%
  UNOMINDA.NS     | Price: 1071.40 | Target:  840.94 | Risk: LOW        | Conf: 100%
  GRAVITA.NS      | Price: 1392.70 | Target: 1088.52 | Risk: LOW        | Conf: 100%
  RADICO.NS       | Price: 2637.30 | Target: 2029.51 | Risk: LOW        | Conf: 100%
  SWANCORP.NS     | Price:  325.45 | Target:  230.68 | Risk: LOW        | Conf: 100%
  LAURUSLABS.NS   | Price:  992.60 | Target:  791.71 | Risk: LOW        | Conf: 100%
  PRESTIGE.NS     | Price: 1201.50 | Target:  939.68 | Risk: LOW        | Conf: 100%
  MAHSCOOTER.NS   | Price: 12005.00 | Target: 10011.07 | Risk: LOW        | Conf: 100%
  RELINFRA.NS     | Price:   72.51 | Target:   46.85 | Risk: LOW        | Conf: 100%
  CUB.NS          | Price:  235.55 | Target:  176.82 | Risk: LOW        | Conf: 100%
  SIGNATURE.NS    | Price:  741.65 | Target:  560.60 | Risk: LOW        | Conf: 100%
  JTLIND.NS       | Price:   49.46 | Target:   35.41 | Risk: LOW        | Conf: 100%
  RICOAUTO.NS     | Price:  108.56 | Target:   77.92 | Risk: LOW        | Conf: 100%
  EQUITASBNK.NS   | Price:   56.00 | Target:   44.67 | Risk: LOW        | Conf: 100%
