NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-08-13 03:57:40

BUY SIGNALS (904):
  RELIANCE.NS     | Price: 1329.00 | Entry: 1302.42 | Target: 1424.43 | Risk: LOW       
  CPEDU.NS        | Price:  216.00 | Entry:  211.68 | Target:  273.03 | Risk: LOW       
  CLEDUCATE.NS    | Price:   60.00 | Entry:    58.8 | Target:   75.76 | Risk: LOW       
  PAVNAIND.NS     | Price:   19.00 | Entry:   18.62 | Target:   25.38 | Risk: LOW       
  PANACHE.NS      | Price:  475.85 | Entry:  466.33 | Target:  599.67 | Risk: LOW       
  KOTHARIPRO.NS   | Price:   70.58 | Entry:   69.17 | Target:   86.50 | Risk: LOW       
  HTMEDIA.NS      | Price:   26.62 | Entry:   26.09 | Target:   34.98 | Risk: LOW       
  UGARSUGAR.NS    | Price:   44.90 | Entry:    44.0 | Target:   57.03 | Risk: LOW       
  XTGLOBAL.NS     | Price:   32.35 | Entry:    31.7 | Target:   41.79 | Risk: LOW       
  MOLDTECH.NS     | Price:  183.15 | Entry:  179.49 | Target:  254.07 | Risk: LOW       
  ARIES.NS        | Price:  393.75 | Entry:  385.88 | Target:  468.07 | Risk: LOW       
  SIGMA.NS        | Price:   46.49 | Entry:   45.56 | Target:   66.13 | Risk: LOW       
  NAHARCAP.NS     | Price:  263.96 | Entry:  258.68 | Target:  311.87 | Risk: LOW       
  ORIENTCER.NS    | Price:   41.42 | Entry:   40.59 | Target:   49.08 | Risk: LOW       
  PLASTIBLEN.NS   | Price:  203.00 | Entry:  198.94 | Target:  235.08 | Risk: LOW       
  BIRLACABLE.NS   | Price:  285.00 | Entry:   279.3 | Target:  355.67 | Risk: LOW       
  THOMASCOTT.NS   | Price:  334.45 | Entry:  327.76 | Target:  443.36 | Risk: LOW       
  KANPRPLA.NS     | Price:  259.73 | Entry:  254.54 | Target:  327.06 | Risk: LOW       
  NRL.NS          | Price:  117.32 | Entry:  114.97 | Target:  128.76 | Risk: LOW       
  MUTHOOTCAP.NS   | Price:  258.18 | Entry:  253.02 | Target:  306.40 | Risk: LOW       
  ALBERTDAVD.NS   | Price:  787.95 | Entry:  772.19 | Target:  939.88 | Risk: LOW       
  SRD.NS          | Price:   41.72 | Entry:   40.89 | Target:   50.82 | Risk: LOW       
  RAMANEWS.NS     | Price:   33.00 | Entry:   32.34 | Target:   42.04 | Risk: LOW       
  KRITINUT.NS     | Price:   86.40 | Entry:   84.67 | Target:  110.81 | Risk: LOW       
  CHEMBONDCH.NS   | Price:  274.99 | Entry:  269.49 | Target:  339.52 | Risk: LOW       
  PCCL.NS         | Price:  309.85 | Entry:  303.65 | Target:  361.42 | Risk: LOW       
  VALIANTLAB.NS   | Price:   78.49 | Entry:   76.92 | Target:   93.64 | Risk: LOW       
  MANAKSIA.NS     | Price:   60.99 | Entry:   59.77 | Target:   71.21 | Risk: LOW       
  NOVAAGRI.NS     | Price:   25.20 | Entry:    24.7 | Target:   29.43 | Risk: LOW       
  SWARAJ.NS       | Price:  372.00 | Entry:  364.56 | Target:  428.77 | Risk: LOW       
  REMSONSIND.NS   | Price:   89.01 | Entry:   87.23 | Target:  106.15 | Risk: LOW       
  GLOBECIVIL.NS   | Price:   44.00 | Entry:   43.12 | Target:   55.12 | Risk: LOW       
  HPAL.NS         | Price:   38.20 | Entry:   37.44 | Target:   48.27 | Risk: LOW       
  ORIENTBELL.NS   | Price:  365.85 | Entry:  358.53 | Target:  427.91 | Risk: LOW       
  SPCENET.NS      | Price:    3.80 | Entry:    3.72 | Target:    4.80 | Risk: LOW       
  BEDMUTHA.NS     | Price:  116.40 | Entry:  114.07 | Target:  143.11 | Risk: LOW       
  GICL.NS         | Price:   22.17 | Entry:   21.73 | Target:   26.80 | Risk: LOW       
  SHIVAUM.NS      | Price:  452.85 | Entry:  443.79 | Target:  566.31 | Risk: LOW       
  MANAKSTEEL.NS   | Price:   83.98 | Entry:    82.3 | Target:  110.05 | Risk: LOW       
  AARTISURF.NS    | Price:  602.90 | Entry:  590.84 | Target:  794.95 | Risk: LOW       
  BBTCL.NS        | Price:  223.38 | Entry:  218.91 | Target:  270.20 | Risk: LOW       
  DYNPRO.NS       | Price:  260.00 | Entry:   254.8 | Target:  315.82 | Risk: LOW       
  IL&FSENGG.NS    | Price:   34.50 | Entry:   33.81 | Target:   43.13 | Risk: LOW       
  INFINIUM.NS     | Price:  215.00 | Entry:   210.7 | Target:  245.32 | Risk: LOW       
  OILCOUNTUB.NS   | Price:   60.51 | Entry:    59.3 | Target:   74.41 | Risk: LOW       
  3IINFOLTD.NS    | Price:   26.69 | Entry:   26.16 | Target:   34.06 | Risk: LOW       
  IITL.NS         | Price:  147.05 | Entry:  144.11 | Target:  192.15 | Risk: LOW       
  DCI.NS          | Price:  350.75 | Entry:  343.74 | Target:  458.48 | Risk: LOW       
  PROV.NS         | Price: 1827.00 | Entry: 1790.46 | Target: 1994.73 | Risk: LOW       
  MEDICO.NS       | Price:   46.99 | Entry:   46.05 | Target:   63.92 | Risk: LOW       
  LOKESHMACH.NS   | Price:  354.00 | Entry:  346.92 | Target:  382.93 | Risk: LOW       
  HARRMALAYA.NS   | Price:  223.00 | Entry:  218.54 | Target:  261.86 | Risk: LOW       
  MANCREDIT.NS    | Price:  251.00 | Entry:  245.98 | Target:  337.46 | Risk: LOW       
  EFACTOR.NS      | Price:  185.35 | Entry:  181.64 | Target:  229.48 | Risk: LOW       
  KANORICHEM.NS   | Price:  154.01 | Entry:  150.93 | Target:  197.11 | Risk: LOW       
  MARKOLINES.NS   | Price:  175.76 | Entry:  172.24 | Target:  203.33 | Risk: LOW       
  ALANKIT.NS      | Price:    8.22 | Entry:    8.06 | Target:    9.90 | Risk: LOW       
  SKP.NS          | Price:  165.00 | Entry:   161.7 | Target:  184.93 | Risk: LOW       
  CMNL.NS         | Price:  111.55 | Entry:  109.32 | Target:  138.32 | Risk: LOW       
  MAWANASUG.NS    | Price:  113.22 | Entry:  110.96 | Target:  139.88 | Risk: LOW       
  SSDL.NS         | Price:   69.49 | Entry:    68.1 | Target:   83.40 | Risk: LOW       
  MANOMAY.NS      | Price:  219.13 | Entry:  214.75 | Target:  249.71 | Risk: LOW       
  LYKALABS.NS     | Price:   68.00 | Entry:   66.64 | Target:   83.27 | Risk: LOW       
  AVG.NS          | Price:  207.00 | Entry:  202.86 | Target:  245.14 | Risk: LOW       
  AFFORDABLE.NS   | Price:  185.80 | Entry:  182.08 | Target:  225.65 | Risk: LOW       
  ATLANTAA.NS     | Price:   39.69 | Entry:    38.9 | Target:   55.27 | Risk: LOW       
  FROG.NS         | Price:  216.40 | Entry:  212.07 | Target:  242.36 | Risk: LOW       
  ALMONDZ.NS      | Price:   14.17 | Entry:   13.89 | Target:   19.27 | Risk: LOW       
  SINTERCOM.NS    | Price:   84.83 | Entry:   83.13 | Target:  102.80 | Risk: LOW       
  PPAP.NS         | Price:  292.10 | Entry:  286.26 | Target:  370.51 | Risk: LOW       
  HITECHCORP.NS   | Price:  326.50 | Entry:  319.97 | Target:  351.13 | Risk: LOW       
  VMSTMT.NS       | Price:   50.44 | Entry:   49.43 | Target:   57.71 | Risk: LOW       
  TREJHARA.NS     | Price:  163.99 | Entry:  160.71 | Target:  202.65 | Risk: LOW       
  AUTOIND.NS      | Price:   98.00 | Entry:   96.04 | Target:  122.20 | Risk: LOW       
  A2ZINFRA.NS     | Price:   15.21 | Entry:   14.91 | Target:   20.28 | Risk: LOW       
  SHEMAROO.NS     | Price:  125.15 | Entry:  122.65 | Target:  151.86 | Risk: LOW       
  PRIZOR.NS       | Price:  889.35 | Entry:  871.56 | Target: 1024.90 | Risk: LOW       
  OMFREIGHT.NS    | Price:   95.89 | Entry:   93.97 | Target:  115.88 | Risk: LOW       
  BAFNAPH.NS      | Price:  273.75 | Entry:  268.27 | Target:  303.50 | Risk: LOW       
  SUNDRMBRAK.NS   | Price:  825.00 | Entry:   808.5 | Target:  952.00 | Risk: LOW       
  CINELINE.NS     | Price:   89.91 | Entry:   88.11 | Target:  110.31 | Risk: LOW       
  ELGIRUBCO.NS    | Price:   60.49 | Entry:   59.28 | Target:   77.92 | Risk: LOW       
  SAHYADRI.NS     | Price:  358.75 | Entry:  351.57 | Target:  444.49 | Risk: LOW       
  PODDARMENT.NS   | Price:  255.00 | Entry:   249.9 | Target:  312.82 | Risk: LOW       
  DCMNVL.NS       | Price:  175.21 | Entry:  171.71 | Target:  212.57 | Risk: LOW       
  JAYSREETEA.NS   | Price:   91.42 | Entry:   89.59 | Target:  105.85 | Risk: LOW       
  UNIVPHOTO.NS    | Price:  494.00 | Entry:  484.12 | Target:  617.96 | Risk: LOW       
  UNIVASTU.NS     | Price:  152.39 | Entry:  149.34 | Target:  196.79 | Risk: LOW       
  KOTYARK.NS      | Price:   43.10 | Entry:   42.24 | Target:   53.24 | Risk: LOW       
  RADIOCITY.NS    | Price:    6.78 | Entry:    6.64 | Target:    8.96 | Risk: LOW       
  CHAVDA.NS       | Price:  135.10 | Entry:   132.4 | Target:  163.55 | Risk: LOW       
  RBS.NS          | Price:   90.00 | Entry:    88.2 | Target:  113.91 | Risk: LOW       
  SCPL.NS         | Price:  673.50 | Entry:  660.03 | Target:  872.36 | Risk: LOW       
  PRATHAM.NS      | Price:  118.80 | Entry:  116.42 | Target:  134.18 | Risk: LOW       
  TCL.NS          | Price:  118.25 | Entry:  115.88 | Target:  143.36 | Risk: LOW       
  SUPREMEINF.NS   | Price:   86.00 | Entry:   84.28 | Target:  114.26 | Risk: LOW       
  STARPAPER.NS    | Price:  149.91 | Entry:  146.91 | Target:  176.67 | Risk: LOW       
  NURECA.NS       | Price:  346.00 | Entry:  339.08 | Target:  435.30 | Risk: LOW       
  FELIX.NS        | Price:  186.85 | Entry:  183.11 | Target:  216.42 | Risk: LOW       
  IVC.NS          | Price:    8.69 | Entry:    8.52 | Target:    9.94 | Risk: LOW       
  ANLON.NS        | Price:  690.00 | Entry:   676.2 | Target:  806.70 | Risk: LOW       
  RUDRA.NS        | Price:   20.36 | Entry:   19.95 | Target:   25.46 | Risk: LOW       
  ESCONET.NS      | Price:  182.15 | Entry:  178.51 | Target:  236.97 | Risk: LOW       
  KOTARISUG.NS    | Price:   26.13 | Entry:   25.61 | Target:   30.73 | Risk: LOW       
  SADHNANIQ.NS    | Price:    3.32 | Entry:    3.25 | Target:    3.89 | Risk: LOW       
  COMMITTED.NS    | Price:  334.30 | Entry:  327.61 | Target:  390.07 | Risk: LOW       
  PIGL.NS         | Price:  112.56 | Entry:  110.31 | Target:  142.00 | Risk: LOW       
  KALYANIFRG.NS   | Price:  704.80 | Entry:   690.7 | Target:  859.35 | Risk: LOW       
  ARIHANTACA.NS   | Price:  481.00 | Entry:  471.38 | Target:  497.79 | Risk: LOW       
  PONNIERODE.NS   | Price:  330.00 | Entry:   323.4 | Target:  387.73 | Risk: LOW       
  CPCAP.NS        | Price:  136.51 | Entry:  133.78 | Target:  166.22 | Risk: LOW       
  SALSTEEL.NS     | Price:   64.01 | Entry:   62.73 | Target:   82.74 | Risk: LOW       
  ATALREAL.NS     | Price:   35.76 | Entry:   35.04 | Target:   41.25 | Risk: LOW       
  SHIVATEX.NS     | Price:  162.05 | Entry:  158.81 | Target:  197.67 | Risk: LOW       
  CORDSCABLE.NS   | Price:  231.00 | Entry:  226.38 | Target:  272.15 | Risk: LOW       
  ABAN.NS         | Price:   18.83 | Entry:   18.45 | Target:   22.56 | Risk: LOW       
  WORTHPERI.NS    | Price:  159.40 | Entry:  156.21 | Target:  201.29 | Risk: LOW       
  TRIGYN.NS       | Price:   56.50 | Entry:   55.37 | Target:   66.48 | Risk: LOW       
  MHLXMIRU.NS     | Price:  185.65 | Entry:  181.94 | Target:  224.95 | Risk: LOW       
  SPECTSTM.NS     | Price:   64.15 | Entry:   62.87 | Target:   85.47 | Risk: LOW       
  AMJLAND.NS      | Price:   40.24 | Entry:   39.44 | Target:   49.00 | Risk: LOW       
  NEPHROCARE.NS   | Price:   83.50 | Entry:   81.83 | Target:  100.71 | Risk: LOW       
  PLAZACABLE.NS   | Price:   53.29 | Entry:   52.22 | Target:   64.15 | Risk: LOW       
  RANASUG.NS      | Price:   13.20 | Entry:   12.94 | Target:   15.68 | Risk: LOW       
  AKSHARCHEM.NS   | Price:  296.12 | Entry:   290.2 | Target:  380.78 | Risk: LOW       
  AAREYDRUGS.NS   | Price:   85.51 | Entry:    83.8 | Target:  102.03 | Risk: LOW       
  NATCAPSUQ.NS    | Price:  157.24 | Entry:   154.1 | Target:  216.83 | Risk: LOW       
  GULFPETRO.NS    | Price:   60.10 | Entry:    58.9 | Target:   76.85 | Risk: LOW       
  PROPEQUITY.NS   | Price:  234.50 | Entry:  229.81 | Target:  263.30 | Risk: LOW       
  TIPSFILMS.NS    | Price:  366.95 | Entry:  359.61 | Target:  522.43 | Risk: LOW       
  ARCHIDPLY.NS    | Price:   90.11 | Entry:   88.31 | Target:  114.43 | Risk: LOW       
  CENTEXT.NS      | Price:   21.19 | Entry:   20.77 | Target:   27.53 | Risk: LOW       
  KEYFINSERV.NS   | Price:  267.70 | Entry:  262.35 | Target:  325.18 | Risk: LOW       
  ESSENTIA.NS     | Price:    1.45 | Entry:    1.42 | Target:    1.71 | Risk: LOW       
  TAINWALCHM.NS   | Price:  206.99 | Entry:  202.85 | Target:  254.18 | Risk: LOW       
  ARVEE.NS        | Price:  176.50 | Entry:  172.97 | Target:  225.91 | Risk: LOW       
  SIKKO.NS        | Price:    5.25 | Entry:    5.14 | Target:    6.95 | Risk: LOW       
  KESORAMIND.NS   | Price:   12.35 | Entry:    12.1 | Target:   15.08 | Risk: LOW       
  DTIL.NS         | Price:  139.98 | Entry:  137.18 | Target:  164.35 | Risk: LOW       
  PURVFLEXI.NS    | Price:   55.15 | Entry:   54.05 | Target:   64.04 | Risk: LOW       
  MANAKALUCO.NS   | Price:   41.00 | Entry:   40.18 | Target:   53.82 | Risk: LOW       
  AARTECH.NS      | Price:   49.80 | Entry:    48.8 | Target:   59.17 | Risk: LOW       
  LAL.NS          | Price:    8.86 | Entry:    8.68 | Target:   12.46 | Risk: LOW       
  INDTERRAIN.NS   | Price:   32.50 | Entry:   31.85 | Target:   42.69 | Risk: LOW       
  LANCORHOL.NS    | Price:   26.10 | Entry:   25.58 | Target:   35.15 | Risk: LOW       
  AARVI.NS        | Price:  152.83 | Entry:  149.77 | Target:  185.90 | Risk: LOW       
  SUPERHOUSE.NS   | Price:  160.89 | Entry:  157.67 | Target:  197.40 | Risk: LOW       
  RSSOFTWARE.NS   | Price:   34.69 | Entry:    34.0 | Target:   41.58 | Risk: LOW       
  CANARYS.NS      | Price:   22.50 | Entry:   22.05 | Target:   29.02 | Risk: LOW       
  IVP.NS          | Price:  181.50 | Entry:  177.87 | Target:  218.20 | Risk: LOW       
  QMSMEDI.NS      | Price:  131.07 | Entry:  128.45 | Target:  161.20 | Risk: LOW       
  MAHESHWARI.NS   | Price:   74.48 | Entry:   72.99 | Target:   84.29 | Risk: LOW       
  VR.NS           | Price:  144.30 | Entry:  141.41 | Target:  164.48 | Risk: LOW       
  SIGIND.NS       | Price:   70.87 | Entry:   69.45 | Target:   94.26 | Risk: LOW       
  DOLLEX.NS       | Price:   31.70 | Entry:   31.07 | Target:   36.04 | Risk: LOW       
  IBLFL.NS        | Price:   64.00 | Entry:   62.72 | Target:   66.77 | Risk: LOW       
  HINDCON.NS      | Price:   22.94 | Entry:   22.48 | Target:   28.32 | Risk: LOW       
  AIROLAM.NS      | Price:   91.85 | Entry:   90.01 | Target:  108.95 | Risk: LOW       
  ALPHAGEO.NS     | Price:  305.00 | Entry:   298.9 | Target:  409.31 | Risk: LOW       
  GVPTECH.NS      | Price:    7.20 | Entry:    7.06 | Target:    8.57 | Risk: LOW       
  RPPL.NS         | Price:   23.50 | Entry:   23.03 | Target:   31.48 | Risk: LOW       
  SHEETAL.NS      | Price:  333.00 | Entry:  326.34 | Target:  380.30 | Risk: LOW       
  SADHAV.NS       | Price:  120.00 | Entry:   117.6 | Target:  136.30 | Risk: LOW       
  HPIL.NS         | Price:  130.98 | Entry:  128.36 | Target:  158.90 | Risk: LOW       
  SLONE.NS        | Price:  144.65 | Entry:  141.76 | Target:  178.27 | Risk: LOW       
  GANGESSECU.NS   | Price:  119.90 | Entry:   117.5 | Target:  140.55 | Risk: LOW       
  STEELCITY.NS    | Price:   79.00 | Entry:   77.42 | Target:   95.04 | Risk: LOW       
  BTML.NS         | Price:    8.77 | Entry:    8.59 | Target:   12.31 | Risk: LOW       
  COMPUSOFT.NS    | Price:   13.47 | Entry:    13.2 | Target:   15.45 | Risk: LOW       
  SAMBHAAV.NS     | Price:    6.87 | Entry:    6.73 | Target:    8.77 | Risk: LOW       
  MASTER.NS       | Price:  475.00 | Entry:   465.5 | Target:  541.23 | Risk: LOW       
  AUSOMENT.NS     | Price:  148.47 | Entry:   145.5 | Target:  184.70 | Risk: LOW       
  SMARTLINK.NS    | Price:  218.54 | Entry:  214.17 | Target:  269.80 | Risk: LOW       
  MAHAPEXLTD.NS   | Price:   57.97 | Entry:   56.81 | Target:   73.45 | Risk: LOW       
  SADBHIN.NS      | Price:    2.75 | Entry:    2.69 | Target:    3.32 | Risk: LOW       
  VITAL.NS        | Price:   52.47 | Entry:   51.42 | Target:   56.87 | Risk: LOW       
  JOCIL.NS        | Price:  150.90 | Entry:  147.88 | Target:  179.77 | Risk: LOW       
  URBAN.NS        | Price:  146.15 | Entry:  143.23 | Target:  176.61 | Risk: LOW       
  MCL.NS          | Price:   57.93 | Entry:   56.77 | Target:   70.53 | Risk: LOW       
  BALPHARMA.NS    | Price:   88.52 | Entry:   86.75 | Target:  104.26 | Risk: LOW       
  VIPULLTD.NS     | Price:   13.10 | Entry:   12.84 | Target:   17.29 | Risk: LOW       
  LOYALTEX.NS     | Price:  233.00 | Entry:  228.34 | Target:  289.64 | Risk: LOW       
  SHAHALLOYS.NS   | Price:   71.46 | Entry:   70.03 | Target:   86.46 | Risk: LOW       
  SECMARK.NS      | Price:  130.00 | Entry:   127.4 | Target:  159.07 | Risk: LOW       
  ZENITHEXPO.NS   | Price:  226.60 | Entry:  222.07 | Target:  280.17 | Risk: LOW       
  ARTNIRMAN.NS    | Price:   41.51 | Entry:   40.68 | Target:   53.61 | Risk: LOW       
  TARMAT.NS       | Price:   54.90 | Entry:    53.8 | Target:   66.27 | Risk: LOW       
  SIDDHIKA.NS     | Price:  216.05 | Entry:  211.73 | Target:  239.44 | Risk: LOW       
  SCML.NS         | Price:   86.35 | Entry:   84.62 | Target:  105.80 | Risk: LOW       
  NEWJAISA.NS     | Price:   16.80 | Entry:   16.46 | Target:   20.07 | Risk: LOW       
  PAR.NS          | Price:  104.00 | Entry:  101.92 | Target:  129.25 | Risk: LOW       
  RELIABLE.NS     | Price:  147.07 | Entry:  144.13 | Target:  180.39 | Risk: LOW       
  AKSHOPTFBR.NS   | Price:    6.60 | Entry:    6.47 | Target:    7.93 | Risk: LOW       
  BEACON.NS       | Price:   91.95 | Entry:   90.11 | Target:  108.70 | Risk: LOW       
  GROBTEA.NS      | Price:  927.00 | Entry:  908.46 | Target: 1040.40 | Risk: LOW       
  REGENCERAM.NS   | Price:   44.50 | Entry:   43.61 | Target:   62.79 | Risk: LOW       
  SURYALAXMI.NS   | Price:   59.65 | Entry:   58.46 | Target:   77.08 | Risk: LOW       
  TOTAL.NS        | Price:   66.00 | Entry:   64.68 | Target:   85.54 | Risk: LOW       
  VAISHALI.NS     | Price:    8.45 | Entry:    8.28 | Target:   10.98 | Risk: LOW       
  SIL.NS          | Price:   19.85 | Entry:   19.45 | Target:   24.72 | Risk: LOW       
  AAATECH.NS      | Price:   95.16 | Entry:   93.26 | Target:  112.99 | Risk: LOW       
  HOACFOODS.NS    | Price:  804.70 | Entry:  788.61 | Target:  902.99 | Risk: LOW       
  MARC.NS         | Price:  132.10 | Entry:  129.46 | Target:  167.01 | Risk: LOW       
  CAPTRUST.NS     | Price:   20.45 | Entry:   20.04 | Target:   26.92 | Risk: LOW       
  LPDC.NS         | Price:    6.60 | Entry:    6.47 | Target:    8.36 | Risk: LOW       
  DIGJAMLMTD.NS   | Price:   48.88 | Entry:    47.9 | Target:   65.32 | Risk: LOW       
  AMDIND.NS       | Price:   56.79 | Entry:   55.65 | Target:   73.39 | Risk: LOW       
  HISARMETAL.NS   | Price:  155.38 | Entry:  152.27 | Target:  187.59 | Risk: LOW       
  JHS.NS          | Price:    8.62 | Entry:    8.45 | Target:   11.02 | Risk: LOW       
  FONEBOX.NS      | Price:   96.00 | Entry:   94.08 | Target:  108.91 | Risk: LOW       
  TGL.NS          | Price:   20.80 | Entry:   20.38 | Target:   28.03 | Risk: LOW       
  CLSL.NS         | Price:   74.50 | Entry:   73.01 | Target:   88.50 | Risk: LOW       
  SANGANI.NS      | Price:   48.30 | Entry:   47.33 | Target:   53.17 | Risk: LOW       
  CTE.NS          | Price:   37.67 | Entry:   36.92 | Target:   50.40 | Risk: LOW       
  ARABIAN.NS      | Price:   87.00 | Entry:   85.26 | Target:  103.11 | Risk: LOW       
  AMEYA.NS        | Price:  109.00 | Entry:  106.82 | Target:  120.27 | Risk: LOW       
  PARASPETRO.NS   | Price:    2.46 | Entry:    2.41 | Target:    3.27 | Risk: LOW       
  AHLADA.NS       | Price:   39.83 | Entry:   39.03 | Target:   47.86 | Risk: LOW       
  SHEKHAWATI.NS   | Price:   21.18 | Entry:   20.76 | Target:   28.58 | Risk: LOW       
  ANSALAPI.NS     | Price:    3.57 | Entry:     3.5 | Target:    3.93 | Risk: LOW       
  GATECH.NS       | Price:    0.75 | Entry:    0.73 | Target:    1.00 | Risk: LOW       
  DURLAX.NS       | Price:   54.70 | Entry:   53.61 | Target:   69.56 | Risk: LOW       
  GSS.NS          | Price:   13.12 | Entry:   12.86 | Target:   17.04 | Risk: LOW       
  KARMAENG.NS     | Price:   40.76 | Entry:   39.94 | Target:   53.11 | Risk: LOW       
  BLUEPEBBLE.NS   | Price:   76.80 | Entry:   75.26 | Target:   95.09 | Risk: LOW       
  MANUGRAPH.NS    | Price:   15.99 | Entry:   15.67 | Target:   20.58 | Risk: LOW       
  PRESSTONIC.NS   | Price:   31.75 | Entry:   31.11 | Target:   40.68 | Risk: LOW       
  UWCSL.NS        | Price:  100.80 | Entry:   98.78 | Target:  108.18 | Risk: LOW       
  HBSL.NS         | Price:   55.40 | Entry:   54.29 | Target:   72.11 | Risk: LOW       
  BMETRICS.NS     | Price:   38.50 | Entry:   37.73 | Target:   41.93 | Risk: LOW       
  ADROITINFO.NS   | Price:   10.04 | Entry:    9.84 | Target:   13.13 | Risk: LOW       
  RCDL.NS         | Price:   29.95 | Entry:   29.35 | Target:   38.34 | Risk: LOW       
  KHAITANLTD.NS   | Price:  140.40 | Entry:  137.59 | Target:  190.91 | Risk: LOW       
  SIMBHALS.NS     | Price:    7.00 | Entry:    6.86 | Target:    8.86 | Risk: LOW       
  21STCENMGM.NS   | Price:   42.31 | Entry:   41.46 | Target:   47.66 | Risk: LOW       
  UCL.NS          | Price:  236.70 | Entry:  231.97 | Target:  265.63 | Risk: LOW       
  SUPERSPIN.NS    | Price:    6.00 | Entry:    5.88 | Target:    6.59 | Risk: LOW       
  SVPGLOB.NS      | Price:    3.97 | Entry:    3.89 | Target:    5.19 | Risk: LOW       
  PROLIFE.NS      | Price:   82.55 | Entry:    80.9 | Target:   87.93 | Risk: LOW       
  GANGAFORGE.NS   | Price:    2.52 | Entry:    2.47 | Target:    3.02 | Risk: LOW       
  NGIL.NS         | Price:   41.52 | Entry:   40.69 | Target:   53.66 | Risk: LOW       
  ABMINTLLTD.NS   | Price:   69.37 | Entry:   67.98 | Target:   93.80 | Risk: LOW       
  PRECISION.NS    | Price:    8.55 | Entry:    8.38 | Target:   10.84 | Risk: LOW       
  MOHITIND.NS     | Price:   24.50 | Entry:   24.01 | Target:   34.65 | Risk: LOW       
  JFLLIFE.NS      | Price:   13.20 | Entry:   12.94 | Target:   16.59 | Risk: LOW       
  KONTOR.NS       | Price:   61.45 | Entry:   60.22 | Target:   65.72 | Risk: LOW       
  VIJIFIN.NS      | Price:   11.69 | Entry:   11.46 | Target:   12.74 | Risk: LOW       
  SIGNORIA.NS     | Price:  171.05 | Entry:  167.63 | Target:  188.76 | Risk: LOW       
  BOHRAIND.NS     | Price:   15.84 | Entry:   15.52 | Target:   21.56 | Risk: LOW       
  TIMESCAN.NS     | Price:   42.00 | Entry:   41.16 | Target:   46.48 | Risk: LOW       
  LAXMICOT.NS     | Price:   14.89 | Entry:   14.59 | Target:   19.44 | Risk: LOW       
  KANANIIND.NS    | Price:    1.57 | Entry:    1.54 | Target:    1.94 | Risk: LOW       
  SATIPOLY.NS     | Price:   46.00 | Entry:   45.08 | Target:   57.16 | Risk: LOW       
  KAUSHALYA.NS    | Price:  935.00 | Entry:   916.3 | Target: 1108.38 | Risk: LOW       
  BILVYAPAR.NS    | Price:    4.25 | Entry:    4.17 | Target:    5.54 | Risk: LOW       
  ROLLT.NS        | Price:    3.21 | Entry:    3.15 | Target:    4.05 | Risk: LOW       
  TGBHOTELS.NS    | Price:    9.82 | Entry:    9.62 | Target:   13.57 | Risk: LOW       
  HAVISHA.NS      | Price:    1.37 | Entry:    1.34 | Target:    1.89 | Risk: LOW       
  GFSTEELS.NS     | Price:   15.00 | Entry:    14.7 | Target:   15.25 | Risk: LOW       
  EASTSILK.NS     | Price:   62.69 | Entry:   61.44 | Target:   84.06 | Risk: LOW       
  SPRL.NS         | Price:  101.95 | Entry:   99.91 | Target:  111.65 | Risk: LOW       
  MANDEEP.NS      | Price:   20.50 | Entry:   20.09 | Target:   23.09 | Risk: LOW       
  CYBERMEDIA.NS   | Price:   16.98 | Entry:   16.64 | Target:   21.20 | Risk: LOW       
  SUPREMEENG.NS   | Price:    2.37 | Entry:    2.32 | Target:    2.55 | Risk: LOW       
  ANKITMETAL.NS   | Price:    1.57 | Entry:    1.54 | Target:    2.01 | Risk: LOW       
  GUJRAFFIA.NS    | Price:   43.00 | Entry:   42.14 | Target:   53.08 | Risk: LOW       
  CALSOFT.NS      | Price:   23.43 | Entry:   22.96 | Target:   28.56 | Risk: LOW       
  RETAIL.NS       | Price:   18.06 | Entry:    17.7 | Target:   24.81 | Risk: LOW       
  VCL.NS          | Price:    1.61 | Entry:    1.58 | Target:    1.96 | Risk: LOW       
  VIVIDHA.NS      | Price:    0.56 | Entry:    0.55 | Target:    0.72 | Risk: LOW       
  MARINETRAN.NS   | Price:   16.25 | Entry:   15.92 | Target:   17.04 | Risk: LOW       
  NIRAJISPAT.NS   | Price:  211.00 | Entry:  206.78 | Target:  257.78 | Risk: LOW       
  SUNREST.NS      | Price:   38.00 | Entry:   37.24 | Target:   43.17 | Risk: LOW       
  TIJARIA.NS      | Price:    5.40 | Entry:    5.29 | Target:    7.83 | Risk: LOW       
  UNIINFO.NS      | Price:   12.60 | Entry:   12.35 | Target:   15.85 | Risk: LOW       
  GLFL.NS         | Price:    6.13 | Entry:    6.01 | Target:    7.79 | Risk: LOW       
  IMPEXFERRO.NS   | Price:    3.50 | Entry:    3.43 | Target:    3.94 | Risk: LOW       
  UMESLTD.NS      | Price:    6.39 | Entry:    6.26 | Target:    7.90 | Risk: LOW       
  VIVO.NS         | Price:  125.70 | Entry:  123.19 | Target:  142.97 | Risk: LOW       
  WINSOME.NS      | Price:  836.67 | Entry:  819.93 | Target:  874.76 | Risk: LOW       
  AHIMSA.NS       | Price:   25.90 | Entry:   25.38 | Target:   26.33 | Risk: LOW       
  SABAR.NS        | Price:    6.90 | Entry:    6.76 | Target:    8.33 | Risk: LOW       
